Month,hits
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,35
2004-10,67
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,71
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,45
2006-02,0
2006-03,90
2006-04,0
2006-05,35
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,13
2007-08,13
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,14
2008-03,10
2008-04,0
2008-05,0
2008-06,0
2008-07,13
2008-08,0
2008-09,8
2008-10,13
2008-11,0
2008-12,8
2009-01,10
2009-02,0
2009-03,26
2009-04,0
2009-05,16
2009-06,10
2009-07,7
2009-08,0
2009-09,16
2009-10,14
2009-11,0
2009-12,12
2010-01,0
2010-02,0
2010-03,11
2010-04,7
2010-05,8
2010-06,14
2010-07,0
2010-08,0
2010-09,16
2010-10,6
2010-11,13
2010-12,16
2011-01,4
2011-02,7
2011-03,16
2011-04,14
2011-05,14
2011-06,4
2011-07,16
2011-08,12
2011-09,14
2011-10,34
2011-11,13
2011-12,17
2012-01,20
2012-02,26
2012-03,21
2012-04,19
2012-05,7
2012-06,4
2012-07,10
2012-08,0
2012-09,3
2012-10,26
2012-11,27
2012-12,19
2013-01,26
2013-02,42
2013-03,25
2013-04,29
2013-05,30
2013-06,32
2013-07,44
2013-08,32
2013-09,28
2013-10,34
2013-11,46
2013-12,32
2014-01,49
2014-02,41
2014-03,48
2014-04,47
2014-05,56
2014-06,43
2014-07,42
2014-08,49
2014-09,75
2014-10,65
2014-11,54
2014-12,41
2015-01,49
2015-02,75
2015-03,82
2015-04,65
2015-05,81
2015-06,63
2015-07,57
2015-08,58
2015-09,70
2015-10,70
2015-11,53
2015-12,76
2016-01,64
2016-02,100
2016-03,82
2016-04,95
2016-05,85
2016-06,64
2016-07,57
2016-08,60
2016-09,79
2016-10,81
2016-11,63
2016-12,69
2017-01,71
2017-02,71
2017-03,84
2017-04,75
2017-05,58
2017-06,60
2017-07,46
2017-08,61
2017-09,63
2017-10,95
2017-11,69
2017-12,56
2018-01,61
2018-02,68
2018-03,66
2018-04,82
2018-05,73
2018-06,71
2018-07,75
2018-08,73
2018-09,68
2018-10,69
2018-11,60
2018-12,58
2019-01,71
2019-02,68
2019-03,75
2019-04,77
2019-05,60
2019-06,66
2019-07,63
2019-08,57
2019-09,69
2019-10,78
2019-11,62
2019-12,56
2020-01,63
2020-02,68
2020-03,53
2020-04,61
2020-05,63
2020-06,61
2020-07,54
2020-08,55
2020-09,67
2020-10,75
2020-11,53
2020-12,52
2021-01,58
2021-02,59
2021-03,56
2021-04,65
2021-05,68
2021-06,62
2021-07,52
2021-08,45
2021-09,69
2021-10,77
2021-11,53
2021-12,45
2022-01,77
2022-02,83
2022-03,82
2022-04,86
2022-05,76
2022-06,61
2022-07,51
2022-08,48
2022-09,82
2022-10,87
2022-11,79
2022-12,60
2023-01,81
2023-02,92
2023-03,78
2023-04,82
2023-05,72
2023-06,62
2023-07,63
2023-08,55
2023-09,83
2023-10,86
2023-11,87
2023-12,90
