subid,class_num,grade,pv_avg,condition
S2-04-17,S2_04,second,1,mental abacus
S2-04-18,S2_04,second,0.91,mental abacus
S2-05-02,S2_05,second,0.09,mental abacus
S2-08-01,S2_08,second,0.73,control
S2-08-03,S2_08,second,0.73,control
S2-09-05,S2_09,second,0.73,control
S2-09-07,S2_09,second,0.18,control
S2-09-08,S2_09,second,0.09,control
S2-09-10,S2_09,second,0.73,control
S2-09-13,S2_09,second,0.91,control
S2-09-19,S2_09,second,0.36,control
S2-09-20,S2_09,second,0.91,control
S2-10-02,S2_10,second,0.45,control
S2-10-03,S2_10,second,0.36,control
S2-10-05,S2_10,second,0.27,control
S2-10-10,S2_10,second,0.64,control
S2-10-11,S2_10,second,0.73,control
S2-10-13,S2_10,second,0.91,control
S2-10-14,S2_10,second,0.18,control
S2-10-15,S2_10,second,0.64,control
S2-10-18,S2_10,second,0.73,control
S2-10-20,S2_10,second,0.27,control
S2-13-01,S2_13,second,0.91,control
S2-13-02,S2_13,second,0.36,control
S2-13-04,S2_13,second,0.91,control
S2-13-05,S2_13,second,1,control
S2-13-06,S2_13,second,0.45,control
S2-13-09,S2_13,second,0.64,control
S2-13-12,S2_13,second,0.36,control
S2-13-15,S2_13,second,0.82,control
S2-13-18,S2_13,second,0,control
S2-13-19,S2_13,second,0.36,control
S2-13-20,S2_13,second,0.82,control
S2-13-21,S2_13,second,0.18,control
S2-16-01,S2_16,second,0.91,mental abacus
S2-16-05,S2_16,second,0.55,mental abacus
S2-16-08,S2_16,second,0.73,mental abacus
S2-16-09,S2_16,second,0.82,mental abacus
S2-16-11,S2_16,second,0,mental abacus
S2-16-14,S2_16,second,0.36,mental abacus
S2-16-15,S2_16,second,1,mental abacus
S2-16-17,S2_16,second,0,mental abacus
S2-16-18,S2_16,second,0.18,mental abacus
S2-16-19,S2_16,second,1,mental abacus
S2-16-20,S2_16,second,0.91,mental abacus
S2-17-02,S2_17,second,0.91,mental abacus
S2-17-03,S2_17,second,0.27,mental abacus
S2-17-04,S2_17,second,0.82,mental abacus
S2-17-05,S2_17,second,1,mental abacus
S2-17-06,S2_17,second,0.82,mental abacus
S2-17-07,S2_17,second,0.64,mental abacus
S2-17-08,S2_17,second,0.73,mental abacus
S2-17-09,S2_17,second,0.27,mental abacus
S2-17-10,S2_17,second,1,mental abacus
S2-17-11,S2_17,second,0.64,mental abacus
S2-17-12,S2_17,second,0.18,mental abacus
S2-17-13,S2_17,second,0.55,mental abacus
S2-17-14,S2_17,second,0.36,mental abacus
S2-17-15,S2_17,second,1,mental abacus
S2-17-16,S2_17,second,0.27,mental abacus
S2-17-17,S2_17,second,0.64,mental abacus
S2-17-19,S2_17,second,0.64,mental abacus
S2-18-01,S2_18,second,0.91,mental abacus
