subid,item,correct,age,condition
SCH21,beds,0,4.76,No Label
SCH19,faces,0,4.79,No Label
SCH19,houses,0,4.79,No Label
SCH19,pasta,0,4.79,No Label
SCH19,beds,1,4.79,No Label
SCH23,faces,0,4.82,No Label
SCH23,houses,0,4.82,No Label
SCH23,pasta,0,4.82,No Label
SCH23,beds,0,4.82,No Label
SCH1,faces,0,4.82,No Label
SCH1,houses,0,4.82,No Label
SCH1,pasta,0,4.82,No Label
SCH1,beds,0,4.82,No Label
MSCH66,faces,0,3.5,No Label
MSCH66,houses,0,3.5,No Label
MSCH66,pasta,1,3.5,No Label
MSCH66,beds,0,3.5,No Label
MSCH67,faces,0,3.24,No Label
MSCH67,houses,1,3.24,No Label
MSCH67,pasta,0,3.24,No Label
MSCH67,beds,1,3.24,No Label
MSCH68,faces,0,3.94,No Label
MSCH68,houses,0,3.94,No Label
MSCH68,pasta,0,3.94,No Label
MSCH68,beds,0,3.94,No Label
MSCH69,faces,0,2.72,No Label
MSCH69,houses,1,2.72,No Label
MSCH69,pasta,1,2.72,No Label
MSCH69,beds,0,2.72,No Label
MSCH70,faces,0,2.31,No Label
MSCH70,houses,0,2.31,No Label
MSCH70,pasta,0,2.31,No Label
MSCH70,beds,1,2.31,No Label
MSCH71,faces,1,3.14,No Label
MSCH71,houses,1,3.14,No Label
MSCH71,pasta,1,3.14,No Label
MSCH71,beds,0,3.14,No Label
MSCH72,faces,1,3.72,No Label
MSCH72,houses,1,3.72,No Label
MSCH72,pasta,0,3.72,No Label
MSCH72,beds,0,3.72,No Label
MSCH73,faces,0,3.1,No Label
MSCH73,houses,0,3.1,No Label
MSCH73,pasta,0,3.1,No Label
MSCH73,beds,0,3.1,No Label
MSCH74,faces,1,2.34,No Label
MSCH74,houses,0,2.34,No Label
MSCH74,pasta,0,2.34,No Label
MSCH74,beds,1,2.34,No Label
MSCH75,faces,0,3.67,No Label
MSCH75,houses,0,3.67,No Label
MSCH75,pasta,0,3.67,No Label
MSCH75,beds,0,3.66,No Label
MSCH76,faces,0,2.58,No Label
MSCH76,houses,0,2.58,No Label
MSCH76,pasta,0,2.58,No Label
MSCH76,beds,0,2.58,No Label
MSCH77,faces,0,2.55,No Label
MSCH77,houses,0,2.55,No Label
MSCH77,pasta,0,2.55,No Label
MSCH77,beds,1,2.55,No Label
MSCH78,faces,0,2.43,No Label
MSCH78,houses,0,2.43,No Label
MSCH78,pasta,0,2.43,No Label
MSCH78,beds,1,2.43,No Label
MSCH79,faces,0,2.7,No Label
MSCH79,houses,1,2.7,No Label
MSCH79,pasta,0,2.7,No Label
MSCH79,beds,1,2.7,No Label
MSCH80,faces,0,2.76,No Label
MSCH80,houses,0,2.76,No Label
MSCH80,pasta,0,2.76,No Label
MSCH80,beds,0,2.76,No Label
MSCH81,faces,1,2.84,No Label
MSCH81,houses,0,2.84,No Label
MSCH81,pasta,0,2.84,No Label
MSCH81,beds,0,2.84,No Label
MSCH82,faces,1,2.46,No Label
MSCH82,houses,0,2.46,No Label
MSCH82,pasta,1,2.46,No Label
MSCH82,beds,0,2.46,No Label
MSCH83,faces,0,2.37,No Label
MSCH83,houses,0,2.37,No Label
MSCH83,pasta,1,2.37,No Label
MSCH83,beds,0,2.37,No Label
MSCH84,faces,0,2.83,No Label
MSCH84,houses,0,2.83,No Label
MSCH84,pasta,1,2.83,No Label
MSCH84,beds,0,2.83,No Label
MSCH85,faces,0,2.69,No Label
MSCH85,houses,0,2.69,No Label
MSCH85,pasta,0,2.69,No Label
MSCH85,beds,0,2.69,No Label
