subid,item,correct,age,condition
M22,faces,1,2,Label
M22,houses,1,2,Label
M22,pasta,0,2,Label
M22,beds,0,2,Label
T22,beds,0,2.13,Label
T22,faces,0,2.13,Label
T22,houses,1,2.13,Label
T22,pasta,1,2.13,Label
T17,pasta,0,2.32,Label
T17,faces,0,2.32,Label
T17,houses,0,2.32,Label
T17,beds,0,2.32,Label
M3,faces,0,2.38,Label
M3,houses,1,2.38,Label
M3,pasta,1,2.38,Label
M3,beds,1,2.38,Label
T19,faces,0,2.47,Label
T19,houses,0,2.47,Label
T19,pasta,1,2.47,Label
T19,beds,1,2.47,Label
T20,faces,1,2.5,Label
T20,houses,1,2.5,Label
T20,pasta,0,2.5,Label
T20,beds,1,2.5,Label
T21,faces,1,2.58,Label
T21,houses,1,2.58,Label
T21,pasta,1,2.58,Label
T21,beds,0,2.58,Label
M26,faces,1,2.59,Label
M26,houses,1,2.59,Label
M26,pasta,0,2.59,Label
M26,beds,1,2.59,Label
T18,faces,1,2.61,Label
T18,houses,0,2.61,Label
T18,pasta,1,2.61,Label
T18,beds,0,2.61,Label
T12,beds,0,2.72,Label
T12,faces,0,2.72,Label
T12,houses,1,2.72,Label
T12,pasta,0,2.72,Label
T16,faces,1,2.73,Label
T16,houses,0,2.73,Label
T16,pasta,1,2.73,Label
T16,beds,1,2.73,Label
T7,faces,1,2.74,Label
T7,houses,0,2.74,Label
T7,pasta,0,2.74,Label
T7,beds,0,2.74,Label
T9,houses,0,2.79,Label
T9,faces,1,2.79,Label
T9,pasta,0,2.79,Label
T9,beds,1,2.79,Label
T5,faces,1,2.8,Label
T5,houses,1,2.8,Label
T5,pasta,0,2.8,Label
T5,beds,1,2.8,Label
T14,faces,1,2.83,Label
T14,houses,1,2.83,Label
T14,pasta,0,2.83,Label
T14,beds,1,2.83,Label
T2,houses,0,2.83,Label
T2,faces,0,2.83,Label
T2,pasta,1,2.83,Label
T2,beds,1,2.83,Label
T15,faces,0,2.85,Label
T15,houses,0,2.85,Label
T15,pasta,1,2.85,Label
T15,beds,0,2.85,Label
M13,houses,0,2.88,Label
M13,beds,1,2.88,Label
M13,faces,1,2.88,Label
M13,pasta,0,2.88,Label
M12,faces,1,2.88,Label
M12,houses,0,2.88,Label
M12,pasta,1,2.88,Label
M12,beds,0,2.88,Label
T13,beds,0,2.89,Label
T13,faces,0,2.89,Label
T13,houses,1,2.89,Label
T13,pasta,1,2.89,Label
T8,faces,1,2.91,Label
T8,houses,0,2.91,Label
T8,pasta,1,2.91,Label
T8,beds,1,2.91,Label
T1,faces,1,2.95,Label
T1,houses,0,2.95,Label
T1,pasta,0,2.95,Label
T1,beds,1,2.95,Label
M15,faces,1,2.98,Label
M15,houses,1,2.98,Label
M15,pasta,1,2.98,Label
M15,beds,1,2.98,Label
T11,faces,1,2.99,Label
T11,houses,0,2.99,Label
T11,pasta,1,2.99,Label
T11,beds,1,2.99,Label
T10,faces,0,3,Label
T10,houses,1,3,Label
T10,pasta,1,3,Label
T10,beds,1,3,Label
T3,faces,1,3.09,Label
T3,houses,1,3.09,Label
T3,pasta,1,3.09,Label
T3,beds,1,3.09,Label
T6,faces,1,3.1,Label
T6,houses,1,3.1,Label
T6,pasta,1,3.1,Label
T6,beds,1,3.1,Label
M32,beds,1,3.19,Label
M32,faces,1,3.19,Label
M32,houses,0,3.19,Label
M32,pasta,1,3.19,Label
M1,faces,0,3.2,Label
M1,beds,1,3.2,Label
M1,pasta,0,3.2,Label
M1,houses,0,3.2,Label
C16,faces,0,3.22,Label
C16,houses,0,3.22,Label
C16,pasta,1,3.22,Label
C16,beds,1,3.22,Label
T4,faces,1,3.24,Label
T4,houses,0,3.24,Label
T4,pasta,0,3.24,Label
T4,beds,1,3.24,Label
C17,faces,1,3.25,Label
C17,houses,0,3.25,Label
C17,pasta,1,3.25,Label
C17,beds,0,3.25,Label
C6,faces,0,3.26,Label
C6,houses,1,3.26,Label
C6,pasta,1,3.26,Label
C6,beds,1,3.26,Label
M10,faces,1,3.28,Label
M10,houses,1,3.28,Label
M10,beds,1,3.28,Label
M10,pasta,1,3.28,Label
M31,faces,0,3.3,Label
M31,houses,1,3.3,Label
M31,pasta,1,3.3,Label
M31,beds,1,3.3,Label
C3,houses,0,3.46,Label
C3,pasta,1,3.46,Label
C3,beds,1,3.46,Label
C3,faces,1,3.46,Label
C10,faces,0,3.46,Label
C10,houses,0,3.46,Label
C10,pasta,1,3.46,Label
C10,beds,1,3.46,Label
M18,faces,0,3.46,Label
M18,houses,1,3.46,Label
M18,pasta,1,3.46,Label
M18,beds,1,3.46,Label
M16,faces,0,3.5,Label
M16,houses,0,3.5,Label
M16,pasta,0,3.5,Label
M16,beds,1,3.5,Label
M23,faces,1,3.52,Label
M23,houses,0,3.52,Label
M23,pasta,1,3.52,Label
M23,beds,1,3.52,Label
C7,faces,0,3.55,Label
C7,houses,1,3.55,Label
C7,pasta,0,3.55,Label
C7,beds,0,3.55,Label
C12,faces,1,3.56,Label
C12,houses,0,3.56,Label
C12,pasta,1,3.56,Label
C12,beds,1,3.56,Label
C15,faces,1,3.59,Label
C15,houses,1,3.59,Label
C15,pasta,1,3.59,Label
C15,beds,1,3.59,Label
M29,faces,0,3.72,Label
M29,houses,1,3.72,Label
M29,pasta,1,3.72,Label
M29,beds,1,3.72,Label
C20,faces,1,3.75,Label
C20,houses,1,3.75,Label
C20,pasta,1,3.75,Label
C20,beds,1,3.75,Label
M11,faces,1,3.82,Label
M11,houses,0,3.82,Label
M11,pasta,1,3.82,Label
M11,beds,1,3.82,Label
C9,beds,1,3.82,Label
C9,faces,1,3.82,Label
C9,houses,1,3.82,Label
C9,pasta,1,3.82,Label
C24,faces,1,3.85,Label
C24,houses,0,3.85,Label
C24,pasta,0,3.85,Label
C24,beds,1,3.85,Label
C22,faces,0,3.92,Label
C22,houses,0,3.92,Label
C22,pasta,1,3.92,Label
C22,beds,1,3.92,Label
C8,faces,1,3.92,Label
C8,houses,1,3.92,Label
C8,pasta,1,3.92,Label
C8,beds,1,3.92,Label
M4,faces,1,3.96,Label
M4,houses,1,3.96,Label
M4,pasta,1,3.96,Label
M4,beds,1,3.96,Label
M6,faces,0,4.5,Label
M6,houses,1,4.5,Label
M6,pasta,1,4.5,Label
M6,beds,0,4.5,Label
C19,faces,1,4.14,Label
C19,houses,0,4.14,Label
C19,pasta,0,4.14,Label
C19,beds,1,4.14,Label
C1,faces,1,4.16,Label
C1,houses,1,4.16,Label
C1,pasta,1,4.16,Label
C1,beds,1,4.16,Label
M19,beds,1,4.16,Label
M19,faces,0,4.16,Label
M19,houses,0,4.16,Label
M19,pasta,1,4.16,Label
C11,faces,1,4.22,Label
C11,houses,0,4.22,Label
C11,pasta,1,4.22,Label
C11,beds,1,4.22,Label
M9,faces,1,4.26,Label
M9,houses,1,4.26,Label
M9,pasta,1,4.26,Label
M9,beds,1,4.26,Label
M2,faces,1,4.28,Label
M2,houses,0,4.28,Label
M2,pasta,1,4.28,Label
M2,beds,1,4.28,Label
C5,faces,1,4.29,Label
C5,houses,1,4.29,Label
C5,pasta,1,4.29,Label
C5,beds,1,4.29,Label
M30,beds,1,4.33,Label
M30,faces,1,4.33,Label
M30,houses,0,4.33,Label
M30,pasta,1,4.33,Label
C13,faces,0,4.38,Label
C13,houses,1,4.38,Label
C13,pasta,0,4.38,Label
C13,beds,1,4.38,Label
C4,faces,1,4.55,Label
C4,houses,1,4.55,Label
C4,pasta,1,4.55,Label
C4,beds,1,4.55,Label
C14,faces,1,4.57,Label
C14,houses,1,4.57,Label
C14,pasta,0,4.57,Label
C14,beds,1,4.57,Label
M17,faces,1,4.58,Label
M17,houses,1,4.58,Label
M17,pasta,1,4.58,Label
M17,beds,1,4.58,Label
C2,faces,1,4.6,Label
C2,houses,1,4.6,Label
C2,pasta,1,4.6,Label
C2,beds,1,4.6,Label
C23,faces,0,4.62,Label
C23,houses,1,4.62,Label
C23,pasta,1,4.62,Label
C23,beds,0,4.62,Label
M20,faces,0,4.64,Label
M20,houses,0,4.64,Label
M20,pasta,1,4.64,Label
M20,beds,1,4.64,Label
M21,faces,1,4.64,Label
M21,houses,1,4.64,Label
M21,pasta,1,4.64,Label
M21,beds,1,4.64,Label
C21,faces,1,4.73,Label
C21,houses,0,4.73,Label
C21,pasta,1,4.73,Label
C21,beds,1,4.73,Label
M24,faces,1,4.82,Label
M24,houses,1,4.82,Label
M24,pasta,1,4.82,Label
M24,beds,1,4.82,Label
M5,faces,0,4.84,Label
M5,houses,0,4.84,Label
M5,pasta,0,4.84,Label
M5,beds,1,4.84,Label
M7,faces,1,4.89,Label
M7,houses,1,4.89,Label
M7,pasta,1,4.89,Label
M7,beds,0,4.89,Label
M8,faces,1,4.89,Label
M8,houses,1,4.89,Label
M8,pasta,1,4.89,Label
M8,beds,1,4.89,Label
C18,faces,0,4.95,Label
C18,houses,1,4.95,Label
C18,pasta,1,4.95,Label
C18,beds,1,4.95,Label
M25,faces,1,4.96,Label
M25,houses,1,4.96,Label
M25,pasta,1,4.96,Label
M25,beds,1,4.96,Label
MSCH47,faces,1,2.01,No Label
MSCH47,houses,0,2.01,No Label
MSCH47,pasta,1,2.01,No Label
MSCH47,beds,0,2.01,No Label
MSCH50,faces,0,2.03,No Label
MSCH50,houses,0,2.03,No Label
MSCH50,pasta,0,2.03,No Label
MSCH50,beds,0,2.03,No Label
MSCH51,faces,0,2.07,No Label
MSCH51,houses,0,2.07,No Label
MSCH51,pasta,0,2.07,No Label
MSCH51,beds,0,2.07,No Label
MSCH44,faces,0,2.25,No Label
MSCH44,houses,0,2.25,No Label
MSCH44,pasta,0,2.25,No Label
MSCH44,beds,0,2.25,No Label
MSCH52,faces,0,2.5,No Label
MSCH52,houses,1,2.5,No Label
MSCH52,pasta,0,2.5,No Label
MSCH52,beds,1,2.5,No Label
MSCH38,faces,0,2.59,No Label
MSCH38,houses,0,2.59,No Label
MSCH38,pasta,1,2.59,No Label
MSCH38,beds,0,2.59,No Label
MSCH43,faces,0,2.71,No Label
MSCH43,houses,0,2.71,No Label
MSCH43,pasta,0,2.71,No Label
MSCH43,beds,0,2.71,No Label
MSCH49,faces,0,2.88,No Label
MSCH49,houses,0,2.88,No Label
MSCH49,pasta,0,2.88,No Label
MSCH49,beds,0,2.88,No Label
MSCH45,faces,0,2.9,No Label
MSCH45,houses,0,2.9,No Label
MSCH45,pasta,0,2.9,No Label
MSCH45,beds,1,2.9,No Label
MSCH42,faces,1,2.93,No Label
MSCH42,houses,0,2.93,No Label
MSCH42,pasta,0,2.93,No Label
MSCH42,beds,0,2.93,No Label
MSCH53,faces,1,2.99,No Label
MSCH53,houses,1,2.99,No Label
MSCH53,pasta,0,2.99,No Label
MSCH53,beds,0,2.99,No Label
SCH35,faces,0,3.02,No Label
SCH35,houses,0,3.02,No Label
SCH35,pasta,0,3.02,No Label
SCH35,beds,0,3.02,No Label
MSCH40,faces,0,3.02,No Label
MSCH40,houses,1,3.02,No Label
MSCH40,pasta,0,3.02,No Label
MSCH40,beds,1,3.02,No Label
SCH34,faces,0,3.06,No Label
SCH34,houses,0,3.06,No Label
SCH34,pasta,0,3.06,No Label
SCH34,beds,0,3.06,No Label
SCH33,faces,0,3.06,No Label
SCH33,houses,0,3.06,No Label
SCH33,pasta,0,3.06,No Label
SCH33,beds,0,3.06,No Label
MSCH41,faces,0,3.18,No Label
MSCH41,houses,0,3.18,No Label
MSCH41,pasta,0,3.18,No Label
MSCH41,beds,0,3.18,No Label
SCH37,beds,0,3.27,No Label
SCH37,faces,1,3.27,No Label
SCH37,houses,0,3.27,No Label
SCH37,pasta,1,3.27,No Label
SCH32,faces,1,3.27,No Label
SCH32,houses,0,3.27,No Label
SCH32,pasta,0,3.27,No Label
SCH32,beds,0,3.27,No Label
SCH36,beds,0,3.33,No Label
SCH36,faces,0,3.33,No Label
SCH36,houses,1,3.33,No Label
SCH36,pasta,1,3.33,No Label
SCH11,beds,0,3.41,No Label
SCH12,faces,0,3.41,No Label
SCH12,houses,0,3.41,No Label
SCH12,pasta,0,3.41,No Label
SCH12,beds,0,3.41,No Label
SCH18,faces,0,3.45,No Label
SCH18,houses,0,3.45,No Label
SCH18,pasta,0,3.45,No Label
SCH18,beds,0,3.45,No Label
MSCH48,faces,0,3.5,No Label
MSCH48,houses,1,3.5,No Label
MSCH48,pasta,0,3.5,No Label
MSCH48,beds,0,3.5,No Label
SCH25,faces,0,3.54,No Label
SCH25,houses,1,3.54,No Label
SCH25,pasta,1,3.54,No Label
SCH25,beds,0,3.54,No Label
SCH31,faces,0,3.71,No Label
SCH31,houses,0,3.71,No Label
SCH31,pasta,0,3.71,No Label
SCH31,beds,0,3.71,No Label
MSCH46,faces,0,3.76,No Label
MSCH46,houses,0,3.76,No Label
MSCH46,pasta,1,3.76,No Label
MSCH46,beds,0,3.76,No Label
SCH11,faces,1,3.82,No Label
SCH11,houses,1,3.82,No Label
SCH11,pasta,1,3.82,No Label
SCH29,faces,0,3.83,No Label
SCH29,houses,0,3.83,No Label
SCH29,pasta,0,3.83,No Label
SCH29,beds,0,3.83,No Label
MSCH39,beds,1,3.93,No Label
MSCH39,pasta,0,3.93,No Label
MSCH39,houses,0,3.94,No Label
MSCH39,faces,0,3.94,No Label
SCH28,faces,0,4.02,No Label
SCH28,houses,0,4.02,No Label
SCH28,pasta,0,4.02,No Label
SCH28,beds,0,4.02,No Label
SCH22,faces,0,4.02,No Label
SCH22,houses,0,4.02,No Label
SCH22,pasta,0,4.02,No Label
SCH22,beds,1,4.02,No Label
SCH24,faces,0,4.07,No Label
SCH24,houses,0,4.07,No Label
SCH24,pasta,1,4.07,No Label
SCH24,beds,0,4.07,No Label
SCH27,faces,0,4.09,No Label
SCH27,houses,0,4.09,No Label
SCH27,pasta,1,4.09,No Label
SCH27,beds,0,4.09,No Label
SCH17,faces,0,4.25,No Label
SCH17,houses,0,4.25,No Label
SCH17,pasta,1,4.25,No Label
SCH17,beds,0,4.25,No Label
SCH10,faces,0,4.32,No Label
SCH10,houses,0,4.32,No Label
SCH10,pasta,0,4.32,No Label
SCH10,beds,1,4.32,No Label
SCH9,faces,0,4.37,No Label
SCH9,houses,0,4.37,No Label
SCH9,pasta,0,4.37,No Label
SCH9,beds,0,4.37,No Label
SCH20,faces,0,4.39,No Label
SCH20,houses,0,4.39,No Label
SCH20,pasta,0,4.39,No Label
SCH20,beds,0,4.39,No Label
SCH6,faces,0,4.41,No Label
SCH6,houses,0,4.41,No Label
SCH6,pasta,0,4.41,No Label
SCH6,beds,0,4.41,No Label
SCH7,faces,1,4.41,No Label
SCH7,houses,0,4.41,No Label
SCH7,pasta,0,4.41,No Label
SCH7,beds,0,4.41,No Label
SCH15,faces,1,4.42,No Label
SCH15,houses,0,4.42,No Label
SCH15,pasta,0,4.42,No Label
SCH15,beds,0,4.42,No Label
SCH30,faces,0,4.44,No Label
SCH30,houses,0,4.44,No Label
SCH30,pasta,1,4.44,No Label
SCH30,beds,0,4.44,No Label
SCH3,faces,0,4.47,No Label
SCH3,houses,0,4.47,No Label
SCH3,pasta,0,4.47,No Label
SCH3,beds,0,4.47,No Label
SCH26,faces,0,4.47,No Label
SCH26,houses,0,4.47,No Label
SCH26,pasta,1,4.47,No Label
SCH26,beds,0,4.47,No Label
SCH8,faces,0,4.52,No Label
SCH8,houses,0,4.52,No Label
SCH8,pasta,0,4.52,No Label
SCH8,beds,0,4.52,No Label
SCH16,faces,0,4.55,No Label
SCH16,houses,0,4.55,No Label
SCH16,pasta,0,4.55,No Label
SCH16,beds,1,4.55,No Label
SCH14,faces,0,4.58,No Label
SCH14,houses,0,4.58,No Label
SCH14,pasta,0,4.58,No Label
SCH14,beds,1,4.58,No Label
SCH2,faces,0,4.61,No Label
SCH2,houses,0,4.61,No Label
SCH2,pasta,0,4.61,No Label
SCH2,beds,0,4.61,No Label
SCH5,faces,0,4.61,No Label
SCH5,houses,0,4.61,No Label
SCH5,pasta,0,4.61,No Label
SCH5,beds,0,4.61,No Label
SCH13,faces,0,4.75,No Label
SCH13,houses,0,4.75,No Label
SCH13,pasta,0,4.75,No Label
SCH13,beds,0,4.75,No Label
SCH21,faces,0,4.76,No Label
SCH21,houses,0,4.76,No Label
SCH21,pasta,0,4.76,No Label
