subid,age,condition,age_group,beds,faces,houses,pasta
M9,4.26,Label,"(4,5]",1,1,1,1
MSCH38,2.59,No Label,"[2,3]",0,0,0,1
MSCH39,3.93,No Label,"(3,4]",1,NA,NA,0
MSCH39,3.94,No Label,"(3,4]",NA,0,0,NA
MSCH40,3.02,No Label,"(3,4]",1,0,1,0
MSCH41,3.18,No Label,"(3,4]",0,0,0,0
MSCH42,2.93,No Label,"[2,3]",0,1,0,0
MSCH43,2.71,No Label,"[2,3]",0,0,0,0
MSCH44,2.25,No Label,"[2,3]",0,0,0,0
MSCH45,2.9,No Label,"[2,3]",1,0,0,0
MSCH46,3.76,No Label,"(3,4]",0,0,0,1
MSCH47,2.01,No Label,"[2,3]",0,1,0,1
MSCH48,3.5,No Label,"(3,4]",0,0,1,0
MSCH49,2.88,No Label,"[2,3]",0,0,0,0
MSCH50,2.03,No Label,"[2,3]",0,0,0,0
MSCH51,2.07,No Label,"[2,3]",0,0,0,0
MSCH52,2.5,No Label,"[2,3]",1,0,1,0
MSCH53,2.99,No Label,"[2,3]",0,1,1,0
MSCH66,3.5,No Label,"(3,4]",0,0,0,1
MSCH67,3.24,No Label,"(3,4]",1,0,1,0
MSCH68,3.94,No Label,"(3,4]",0,0,0,0
MSCH69,2.72,No Label,"[2,3]",0,0,1,1
MSCH70,2.31,No Label,"[2,3]",1,0,0,0
MSCH71,3.14,No Label,"(3,4]",0,1,1,1
MSCH72,3.72,No Label,"(3,4]",0,1,1,0
MSCH73,3.1,No Label,"(3,4]",0,0,0,0
MSCH74,2.34,No Label,"[2,3]",1,1,0,0
MSCH75,3.66,No Label,"(3,4]",0,NA,NA,NA
MSCH75,3.67,No Label,"(3,4]",NA,0,0,0
MSCH76,2.58,No Label,"[2,3]",0,0,0,0
MSCH77,2.55,No Label,"[2,3]",1,0,0,0
MSCH78,2.43,No Label,"[2,3]",1,0,0,0
MSCH79,2.7,No Label,"[2,3]",1,0,1,0
MSCH80,2.76,No Label,"[2,3]",0,0,0,0
MSCH81,2.84,No Label,"[2,3]",0,1,0,0
MSCH82,2.46,No Label,"[2,3]",0,1,0,1
MSCH83,2.37,No Label,"[2,3]",0,0,0,1
MSCH84,2.83,No Label,"[2,3]",0,0,0,1
MSCH85,2.69,No Label,"[2,3]",0,0,0,0
SCH1,4.82,No Label,"(4,5]",0,0,0,0
SCH10,4.32,No Label,"(4,5]",1,0,0,0
SCH11,3.41,No Label,"(3,4]",0,NA,NA,NA
SCH11,3.82,No Label,"(3,4]",NA,1,1,1
SCH12,3.41,No Label,"(3,4]",0,0,0,0
SCH13,4.75,No Label,"(4,5]",0,0,0,0
SCH14,4.58,No Label,"(4,5]",1,0,0,0
SCH15,4.42,No Label,"(4,5]",0,1,0,0
SCH16,4.55,No Label,"(4,5]",1,0,0,0
SCH17,4.25,No Label,"(4,5]",0,0,0,1
SCH18,3.45,No Label,"(3,4]",0,0,0,0
SCH19,4.79,No Label,"(4,5]",1,0,0,0
SCH2,4.61,No Label,"(4,5]",0,0,0,0
SCH20,4.39,No Label,"(4,5]",0,0,0,0
SCH21,4.76,No Label,"(4,5]",0,0,0,0
SCH22,4.02,No Label,"(4,5]",1,0,0,0
SCH23,4.82,No Label,"(4,5]",0,0,0,0
SCH24,4.07,No Label,"(4,5]",0,0,0,1
SCH25,3.54,No Label,"(3,4]",0,0,1,1
SCH26,4.47,No Label,"(4,5]",0,0,0,1
SCH27,4.09,No Label,"(4,5]",0,0,0,1
SCH28,4.02,No Label,"(4,5]",0,0,0,0
SCH29,3.83,No Label,"(3,4]",0,0,0,0
SCH3,4.47,No Label,"(4,5]",0,0,0,0
SCH30,4.44,No Label,"(4,5]",0,0,0,1
SCH31,3.71,No Label,"(3,4]",0,0,0,0
SCH32,3.27,No Label,"(3,4]",0,1,0,0
SCH33,3.06,No Label,"(3,4]",0,0,0,0
SCH34,3.06,No Label,"(3,4]",0,0,0,0
SCH35,3.02,No Label,"(3,4]",0,0,0,0
SCH36,3.33,No Label,"(3,4]",0,0,1,1
SCH37,3.27,No Label,"(3,4]",0,1,0,1
SCH5,4.61,No Label,"(4,5]",0,0,0,0
SCH6,4.41,No Label,"(4,5]",0,0,0,0
SCH7,4.41,No Label,"(4,5]",0,1,0,0
SCH8,4.52,No Label,"(4,5]",0,0,0,0
SCH9,4.37,No Label,"(4,5]",0,0,0,0
T1,2.95,Label,"[2,3]",1,1,0,0
T10,3,Label,"[2,3]",1,0,1,1
T11,2.99,Label,"[2,3]",1,1,0,1
T12,2.72,Label,"[2,3]",0,0,1,0
T13,2.89,Label,"[2,3]",0,0,1,1
T14,2.83,Label,"[2,3]",1,1,1,0
T15,2.85,Label,"[2,3]",0,0,0,1
T16,2.73,Label,"[2,3]",1,1,0,1
T17,2.32,Label,"[2,3]",0,0,0,0
T18,2.61,Label,"[2,3]",0,1,0,1
T19,2.47,Label,"[2,3]",1,0,0,1
T2,2.83,Label,"[2,3]",1,0,0,1
T20,2.5,Label,"[2,3]",1,1,1,0
T21,2.58,Label,"[2,3]",0,1,1,1
T22,2.13,Label,"[2,3]",0,0,1,1
T3,3.09,Label,"(3,4]",1,1,1,1
T4,3.24,Label,"(3,4]",1,1,0,0
T5,2.8,Label,"[2,3]",1,1,1,0
T6,3.1,Label,"(3,4]",1,1,1,1
T7,2.74,Label,"[2,3]",0,1,0,0
T8,2.91,Label,"[2,3]",1,1,0,1
T9,2.79,Label,"[2,3]",1,1,0,0
