subid,age,condition,age_group,beds,faces,houses,pasta
C1,4.16,Label,"(4,5]",1,1,1,1
C10,3.46,Label,"(3,4]",1,0,0,1
C11,4.22,Label,"(4,5]",1,1,0,1
C12,3.56,Label,"(3,4]",1,1,0,1
C13,4.38,Label,"(4,5]",1,0,1,0
C14,4.57,Label,"(4,5]",1,1,1,0
C15,3.59,Label,"(3,4]",1,1,1,1
C16,3.22,Label,"(3,4]",1,0,0,1
C17,3.25,Label,"(3,4]",0,1,0,1
C18,4.95,Label,"(4,5]",1,0,1,1
C19,4.14,Label,"(4,5]",1,1,0,0
C2,4.6,Label,"(4,5]",1,1,1,1
C20,3.75,Label,"(3,4]",1,1,1,1
C21,4.73,Label,"(4,5]",1,1,0,1
C22,3.92,Label,"(3,4]",1,0,0,1
C23,4.62,Label,"(4,5]",0,0,1,1
C24,3.85,Label,"(3,4]",1,1,0,0
C3,3.46,Label,"(3,4]",1,1,0,1
C4,4.55,Label,"(4,5]",1,1,1,1
C5,4.29,Label,"(4,5]",1,1,1,1
C6,3.26,Label,"(3,4]",1,0,1,1
C7,3.55,Label,"(3,4]",0,0,1,0
C8,3.92,Label,"(3,4]",1,1,1,1
C9,3.82,Label,"(3,4]",1,1,1,1
M1,3.2,Label,"(3,4]",1,0,0,0
M10,3.28,Label,"(3,4]",1,1,1,1
M11,3.82,Label,"(3,4]",1,1,0,1
M12,2.88,Label,"[2,3]",0,1,0,1
M13,2.88,Label,"[2,3]",1,1,0,0
M15,2.98,Label,"[2,3]",1,1,1,1
M16,3.5,Label,"(3,4]",1,0,0,0
M17,4.58,Label,"(4,5]",1,1,1,1
M18,3.46,Label,"(3,4]",1,0,1,1
M19,4.16,Label,"(4,5]",1,0,0,1
M2,4.28,Label,"(4,5]",1,1,0,1
M20,4.64,Label,"(4,5]",1,0,0,1
M21,4.64,Label,"(4,5]",1,1,1,1
M22,2,Label,"[2,3]",0,1,1,0
M23,3.52,Label,"(3,4]",1,1,0,1
M24,4.82,Label,"(4,5]",1,1,1,1
M25,4.96,Label,"(4,5]",1,1,1,1
M26,2.59,Label,"[2,3]",1,1,1,0
M29,3.72,Label,"(3,4]",1,0,1,1
M3,2.38,Label,"[2,3]",1,0,1,1
M30,4.33,Label,"(4,5]",1,1,0,1
M31,3.3,Label,"(3,4]",1,0,1,1
M32,3.19,Label,"(3,4]",1,1,0,1
M4,3.96,Label,"(3,4]",1,1,1,1
M5,4.84,Label,"(4,5]",1,0,0,0
M6,4.5,Label,"(4,5]",0,0,1,1
M7,4.89,Label,"(4,5]",0,1,1,1
M8,4.89,Label,"(4,5]",1,1,1,1
