workerid,movieID,reactionTime,PArray,AArray,trialNum,expt
123,8,811.15,0,0,2,"2b:Lab2AFC,CR"
123,2,658.83,1,1,3,"2b:Lab2AFC,CR"
123,6,412.16,0,1,4,"2b:Lab2AFC,CR"
123,4,450.77,1,0,6,"2b:Lab2AFC,CR"
123,4,567.56,1,0,9,"2b:Lab2AFC,CR"
123,8,650.6,0,0,10,"2b:Lab2AFC,CR"
123,2,734.28,1,1,15,"2b:Lab2AFC,CR"
123,6,379.16,0,1,16,"2b:Lab2AFC,CR"
123,8,907,0,0,19,"2b:Lab2AFC,CR"
123,4,463.78,1,0,20,"2b:Lab2AFC,CR"
123,6,375.58,0,1,22,"2b:Lab2AFC,CR"
123,2,694.03,1,1,24,"2b:Lab2AFC,CR"
123,8,704.18,0,0,25,"2b:Lab2AFC,CR"
123,2,451.4,1,1,26,"2b:Lab2AFC,CR"
123,6,502.06,0,1,28,"2b:Lab2AFC,CR"
123,4,450.21,1,0,31,"2b:Lab2AFC,CR"
123,2,451.13,1,1,33,"2b:Lab2AFC,CR"
123,4,413.74,1,0,35,"2b:Lab2AFC,CR"
123,8,484.04,0,0,38,"2b:Lab2AFC,CR"
124,4,833.51,1,0,2,"2b:Lab2AFC,CR"
124,6,1228,0,1,3,"2b:Lab2AFC,CR"
124,2,450.59,1,1,5,"2b:Lab2AFC,CR"
124,8,766.82,0,0,10,"2b:Lab2AFC,CR"
124,6,686.63,0,1,16,"2b:Lab2AFC,CR"
124,4,793.55,1,0,17,"2b:Lab2AFC,CR"
124,2,907.91,1,1,23,"2b:Lab2AFC,CR"
124,6,576.64,0,1,26,"2b:Lab2AFC,CR"
124,8,683.48,0,0,27,"2b:Lab2AFC,CR"
124,2,650.51,1,1,31,"2b:Lab2AFC,CR"
124,6,661.55,0,1,34,"2b:Lab2AFC,CR"
124,2,767.07,1,1,35,"2b:Lab2AFC,CR"
124,8,818.88,0,0,36,"2b:Lab2AFC,CR"
124,4,902.28,1,0,40,"2b:Lab2AFC,CR"
125,8,715.42,0,0,1,"2b:Lab2AFC,CR"
125,6,511.19,0,1,2,"2b:Lab2AFC,CR"
125,4,915.2,1,0,5,"2b:Lab2AFC,CR"
125,2,691.54,1,1,8,"2b:Lab2AFC,CR"
125,2,649.27,1,1,9,"2b:Lab2AFC,CR"
125,8,614.7,0,0,13,"2b:Lab2AFC,CR"
125,6,485.76,0,1,15,"2b:Lab2AFC,CR"
