workerid,movieID,reactionTime,PArray,AArray,trialNum,expt
123,5,666.38,0,1,1,2b:Lab2AFC
123,3,455.77,1,0,5,2b:Lab2AFC
123,1,588.26,1,1,7,2b:Lab2AFC
123,7,604.95,0,0,8,2b:Lab2AFC
123,7,567.62,0,0,11,2b:Lab2AFC
123,3,566.72,1,0,12,2b:Lab2AFC
123,5,366.99,0,1,13,2b:Lab2AFC
123,1,498.17,1,1,14,2b:Lab2AFC
123,7,494.48,0,0,17,2b:Lab2AFC
123,5,534.24,0,1,18,2b:Lab2AFC
123,1,683.43,1,1,21,2b:Lab2AFC
123,1,516.69,1,1,27,2b:Lab2AFC
123,7,671.05,0,0,29,2b:Lab2AFC
123,5,579.22,0,1,30,2b:Lab2AFC
123,3,377.26,1,0,32,2b:Lab2AFC
123,7,631.79,0,0,34,2b:Lab2AFC
123,5,405.5,0,1,36,2b:Lab2AFC
123,1,492.33,1,1,37,2b:Lab2AFC
123,3,496.93,1,0,39,2b:Lab2AFC
124,5,777.81,0,1,1,2b:Lab2AFC
124,3,766.64,1,0,7,2b:Lab2AFC
124,1,734.16,1,1,8,2b:Lab2AFC
124,3,634.51,1,0,9,2b:Lab2AFC
124,1,650,1,1,11,2b:Lab2AFC
124,5,604.54,0,1,14,2b:Lab2AFC
124,7,706.91,0,0,15,2b:Lab2AFC
124,7,850.09,0,0,19,2b:Lab2AFC
124,1,468.15,1,1,20,2b:Lab2AFC
124,3,545.2,1,0,21,2b:Lab2AFC
124,5,686.42,0,1,24,2b:Lab2AFC
124,7,586.47,0,0,25,2b:Lab2AFC
124,5,589.98,0,1,28,2b:Lab2AFC
124,1,539.8,1,1,29,2b:Lab2AFC
124,3,591.46,1,0,30,2b:Lab2AFC
124,7,544.27,0,0,33,2b:Lab2AFC
124,1,650.94,1,1,37,2b:Lab2AFC
124,3,387.55,1,0,38,2b:Lab2AFC
124,5,545.62,0,1,39,2b:Lab2AFC
125,7,571.72,0,0,3,2b:Lab2AFC
125,5,798.73,0,1,4,2b:Lab2AFC
125,1,632.78,1,1,6,2b:Lab2AFC
125,3,474.49,1,0,7,2b:Lab2AFC
125,3,721.12,1,0,12,2b:Lab2AFC
125,7,732.39,0,0,14,2b:Lab2AFC
125,1,764.88,1,1,16,2b:Lab2AFC
125,1,454.85,1,1,19,2b:Lab2AFC
125,5,648.41,0,1,20,2b:Lab2AFC
125,7,616.23,0,0,21,2b:Lab2AFC
125,3,599.61,1,0,24,2b:Lab2AFC
125,3,518.3,1,0,28,2b:Lab2AFC
125,5,627.91,0,1,29,2b:Lab2AFC
125,1,731.83,1,1,31,2b:Lab2AFC
125,7,656.9,0,0,32,2b:Lab2AFC
