workerid,movieID,reactionTime,PArray,AArray,trialNum,expt
601,1,739,1,1,5,6:Attn19s
588,1,535,1,1,5,6:Attn19s
615,7,400,0,0,5,6:Attn19s
577,5,638,0,1,5,6:Attn19s
583,7,688,0,0,5,6:Attn19s
572,7,505,0,0,5,6:Attn19s
573,1,500,1,1,5,6:Attn19s
570,7,379,0,0,5,6:Attn19s
599,7,499,0,0,5,6:Attn19s
596,1,471,1,1,5,6:Attn19s
624,7,633,0,0,5,6:Attn19s
613,5,407,0,1,5,6:Attn19s
594,5,689,0,1,5,6:Attn19s
614,1,448,1,1,5,6:Attn19s
589,1,397,1,1,5,6:Attn19s
586,3,422,1,0,5,6:Attn19s
632,3,807,1,0,5,6:Attn19s
638,3,497,1,0,5,6:Attn19s
587,5,443,0,1,5,6:Attn19s
576,7,863,0,0,5,6:Attn19s
584,3,468,1,0,5,6:Attn19s
581,7,687,0,0,5,6:Attn19s
410,3,851,1,0,5,6:Attn19s
600,1,790,1,1,5,6:Attn19s
592,5,533,0,1,5,6:Attn19s
595,5,526,0,1,5,6:Attn19s
574,7,673,0,0,5,6:Attn19s
619,3,1413,1,0,5,6:Attn19s
629,5,494,0,1,6,6:Attn19s
637,1,765,1,1,6,6:Attn19s
20,1,440,1,1,6,6:Attn19s
585,3,510,1,0,6,6:Attn19s
578,7,617,0,0,6,6:Attn19s
620,1,319,1,1,6,6:Attn19s
582,7,648,0,0,6,6:Attn19s
263,7,564,0,0,6,6:Attn19s
580,1,874,1,1,6,6:Attn19s
630,1,544,1,1,6,6:Attn19s
567,7,762,0,0,6,6:Attn19s
636,1,665,1,1,6,6:Attn19s
148,7,603,0,0,6,6:Attn19s
273,3,440,1,0,6,6:Attn19s
631,7,480,0,0,6,6:Attn19s
628,5,698,0,1,6,6:Attn19s
575,3,400,1,0,6,6:Attn19s
221,3,794,1,0,6,6:Attn19s
612,1,893,1,1,6,6:Attn19s
601,7,758,0,0,6,6:Attn19s
615,1,468,1,1,6,6:Attn19s
569,7,541,0,0,6,6:Attn19s
572,3,478,1,0,6,6:Attn19s
605,7,1243,0,0,6,6:Attn19s
596,5,457,0,1,6,6:Attn19s
607,5,616,0,1,6,6:Attn19s
571,3,481,1,0,6,6:Attn19s
597,5,576,0,1,6,6:Attn19s
603,3,590,1,0,6,6:Attn19s
618,1,481,1,1,6,6:Attn19s
624,5,525,0,1,6,6:Attn19s
616,3,565,1,0,6,6:Attn19s
594,5,809,0,1,6,6:Attn19s
614,1,438,1,1,6,6:Attn19s
589,5,360,0,1,6,6:Attn19s
586,7,559,0,0,6,6:Attn19s
632,5,953,0,1,6,6:Attn19s
625,7,518,0,0,6,6:Attn19s
621,3,511,1,0,6,6:Attn19s
638,7,510,0,0,6,6:Attn19s
2,7,546,0,0,6,6:Attn19s
576,7,609,0,0,6,6:Attn19s
584,1,494,1,1,6,6:Attn19s
581,7,610,0,0,6,6:Attn19s
598,3,606,1,0,6,6:Attn19s
634,7,656,0,0,6,6:Attn19s
592,7,512,0,0,6,6:Attn19s
574,3,515,1,0,6,6:Attn19s
629,7,543,0,0,7,6:Attn19s
578,1,447,1,1,7,6:Attn19s
593,7,807,0,0,7,6:Attn19s
610,3,483,1,0,7,6:Attn19s
620,3,555,1,0,7,6:Attn19s
582,5,714,0,1,7,6:Attn19s
623,1,1035,1,1,7,6:Attn19s
636,7,656,0,0,7,6:Attn19s
148,7,545,0,0,7,6:Attn19s
606,3,542,1,0,7,6:Attn19s
221,7,452,0,0,7,6:Attn19s
601,1,587,1,1,7,6:Attn19s
588,7,909,0,0,7,6:Attn19s
615,3,480,1,0,7,6:Attn19s
577,5,551,0,1,7,6:Attn19s
569,3,476,1,0,7,6:Attn19s
583,5,803,0,1,7,6:Attn19s
572,3,483,1,0,7,6:Attn19s
605,5,536,0,1,7,6:Attn19s
568,3,566,1,0,7,6:Attn19s
599,3,496,1,0,7,6:Attn19s
571,5,463,0,1,7,6:Attn19s
597,3,518,1,0,7,6:Attn19s
603,5,499,0,1,7,6:Attn19s
624,7,485,0,0,7,6:Attn19s
616,3,478,1,0,7,6:Attn19s
633,3,466,1,0,7,6:Attn19s
613,3,374,1,0,7,6:Attn19s
586,7,440,0,0,7,6:Attn19s
617,7,1015,0,0,7,6:Attn19s
587,3,385,1,0,7,6:Attn19s
2,1,1008,1,1,7,6:Attn19s
584,7,422,0,0,7,6:Attn19s
581,3,214,1,0,7,6:Attn19s
634,7,799,0,0,7,6:Attn19s
592,3,451,1,0,7,6:Attn19s
574,7,668,0,0,7,6:Attn19s
619,1,997,1,1,7,6:Attn19s
585,3,865,1,0,8,6:Attn19s
578,3,415,1,0,8,6:Attn19s
590,5,539,0,1,8,6:Attn19s
593,1,840,1,1,8,6:Attn19s
620,7,590,0,0,8,6:Attn19s
263,3,539,1,0,8,6:Attn19s
623,7,1452,0,0,8,6:Attn19s
580,1,866,1,1,8,6:Attn19s
630,3,506,1,0,8,6:Attn19s
567,1,627,1,1,8,6:Attn19s
606,7,670,0,0,8,6:Attn19s
273,3,421,1,0,8,6:Attn19s
631,7,518,0,0,8,6:Attn19s
221,5,464,0,1,8,6:Attn19s
615,5,443,0,1,8,6:Attn19s
572,7,559,0,0,8,6:Attn19s
573,5,437,0,1,8,6:Attn19s
605,7,512,0,0,8,6:Attn19s
568,1,585,1,1,8,6:Attn19s
570,5,501,0,1,8,6:Attn19s
607,3,805,1,0,8,6:Attn19s
591,5,697,0,1,8,6:Attn19s
597,1,511,1,1,8,6:Attn19s
624,7,1000,0,0,8,6:Attn19s
633,5,463,0,1,8,6:Attn19s
635,3,427,1,0,8,6:Attn19s
614,5,549,0,1,8,6:Attn19s
586,5,527,0,1,8,6:Attn19s
627,5,405,0,1,8,6:Attn19s
621,7,584,0,0,8,6:Attn19s
638,7,584,0,0,8,6:Attn19s
587,7,510,0,0,8,6:Attn19s
2,7,592,0,0,8,6:Attn19s
626,3,1233,1,0,8,6:Attn19s
598,5,511,0,1,8,6:Attn19s
600,5,569,0,1,8,6:Attn19s
592,3,494,1,0,8,6:Attn19s
595,7,489,0,0,8,6:Attn19s
574,3,592,1,0,8,6:Attn19s
619,3,1032,1,0,8,6:Attn19s
637,7,1003,0,0,9,6:Attn19s
593,3,695,1,0,9,6:Attn19s
604,1,671,1,1,9,6:Attn19s
620,3,358,1,0,9,6:Attn19s
582,1,404,1,1,9,6:Attn19s
263,1,468,1,1,9,6:Attn19s
630,1,581,1,1,9,6:Attn19s
628,3,617,1,0,9,6:Attn19s
575,1,615,1,1,9,6:Attn19s
601,5,602,0,1,9,6:Attn19s
577,7,1255,0,0,9,6:Attn19s
583,7,548,0,0,9,6:Attn19s
611,5,764,0,1,9,6:Attn19s
599,5,537,0,1,9,6:Attn19s
591,5,771,0,1,9,6:Attn19s
597,5,687,0,1,9,6:Attn19s
618,1,553,1,1,9,6:Attn19s
624,1,437,1,1,9,6:Attn19s
633,3,428,1,0,9,6:Attn19s
594,3,704,1,0,9,6:Attn19s
635,3,350,1,0,9,6:Attn19s
614,7,429,0,0,9,6:Attn19s
589,1,522,1,1,9,6:Attn19s
608,1,627,1,1,9,6:Attn19s
621,5,552,0,1,9,6:Attn19s
576,7,663,0,0,9,6:Attn19s
584,1,438,1,1,9,6:Attn19s
626,1,435,1,1,9,6:Attn19s
598,3,581,1,0,9,6:Attn19s
600,7,687,0,0,9,6:Attn19s
592,1,677,1,1,9,6:Attn19s
619,1,926,1,1,9,6:Attn19s
629,1,415,1,1,10,6:Attn19s
20,5,437,0,1,10,6:Attn19s
585,5,975,0,1,10,6:Attn19s
590,1,692,1,1,10,6:Attn19s
593,7,582,0,0,10,6:Attn19s
622,5,1038,0,1,10,6:Attn19s
620,1,342,1,1,10,6:Attn19s
263,3,434,1,0,10,6:Attn19s
623,5,1001,0,1,10,6:Attn19s
580,3,666,1,0,10,6:Attn19s
579,7,575,0,0,10,6:Attn19s
606,5,549,0,1,10,6:Attn19s
609,3,915,1,0,10,6:Attn19s
631,3,868,1,0,10,6:Attn19s
588,1,671,1,1,10,6:Attn19s
615,5,393,0,1,10,6:Attn19s
577,5,407,0,1,10,6:Attn19s
605,1,388,1,1,10,6:Attn19s
611,3,482,1,0,10,6:Attn19s
568,7,471,0,0,10,6:Attn19s
570,1,637,1,1,10,6:Attn19s
596,7,681,0,0,10,6:Attn19s
607,7,689,0,0,10,6:Attn19s
591,5,667,0,1,10,6:Attn19s
597,7,501,0,0,10,6:Attn19s
633,7,369,0,0,10,6:Attn19s
613,1,374,1,1,10,6:Attn19s
635,5,371,0,1,10,6:Attn19s
614,3,463,1,0,10,6:Attn19s
589,5,400,0,1,10,6:Attn19s
608,1,602,1,1,10,6:Attn19s
617,3,695,1,0,10,6:Attn19s
