workerid,movieID,reactionTime,PArray,AArray,trialNum,expt
173,4,2153,1,0,1,"2a:2AFC,CR"
75,6,2164,0,1,1,"2a:2AFC,CR"
154,2,2441,1,1,1,"2a:2AFC,CR"
202,2,1659,1,1,1,"2a:2AFC,CR"
174,2,922,1,1,1,"2a:2AFC,CR"
181,6,2601,0,1,1,"2a:2AFC,CR"
178,8,2153,0,0,1,"2a:2AFC,CR"
147,2,2814,1,1,1,"2a:2AFC,CR"
161,6,2723,0,1,1,"2a:2AFC,CR"
190,2,1407,1,1,1,"2a:2AFC,CR"
45,4,1208,1,0,1,"2a:2AFC,CR"
171,2,2701,1,1,1,"2a:2AFC,CR"
193,4,1003,1,0,1,"2a:2AFC,CR"
172,4,2072,1,0,2,"2a:2AFC,CR"
167,8,2969,0,0,2,"2a:2AFC,CR"
200,8,2224,0,0,2,"2a:2AFC,CR"
187,6,923,0,1,2,"2a:2AFC,CR"
38,8,1054,0,0,2,"2a:2AFC,CR"
154,6,1529,0,1,2,"2a:2AFC,CR"
165,8,915,0,0,2,"2a:2AFC,CR"
174,6,500,0,1,2,"2a:2AFC,CR"
176,2,1206,1,1,2,"2a:2AFC,CR"
181,4,2281,1,0,2,"2a:2AFC,CR"
178,4,2385,1,0,2,"2a:2AFC,CR"
195,8,1571,0,0,2,"2a:2AFC,CR"
147,2,2552,1,1,2,"2a:2AFC,CR"
166,2,546,1,1,2,"2a:2AFC,CR"
162,2,2588,1,1,2,"2a:2AFC,CR"
158,6,2295,0,1,2,"2a:2AFC,CR"
201,6,1543,0,1,2,"2a:2AFC,CR"
45,4,1433,1,0,2,"2a:2AFC,CR"
198,6,1499,0,1,2,"2a:2AFC,CR"
192,4,2496,1,0,2,"2a:2AFC,CR"
186,4,1407,1,0,2,"2a:2AFC,CR"
204,6,1534,0,1,2,"2a:2AFC,CR"
203,6,669,0,1,2,"2a:2AFC,CR"
149,8,1307,0,0,2,"2a:2AFC,CR"
155,2,1066,1,1,3,"2a:2AFC,CR"
172,6,1650,0,1,3,"2a:2AFC,CR"
169,8,878,0,0,3,"2a:2AFC,CR"
167,4,950,1,0,3,"2a:2AFC,CR"
200,6,1840,0,1,3,"2a:2AFC,CR"
189,2,1027,1,1,3,"2a:2AFC,CR"
151,6,1032,0,1,3,"2a:2AFC,CR"
187,2,2005,1,1,3,"2a:2AFC,CR"
