workerid,movieID,reactionTime,PArray,AArray,trialNum,attentionTime,expt
94,23,642,0,0,1,13.2,8a:LBtimes
735,11,554,1,0,1,10.8,8a:LBtimes
601,19,445,1,0,1,16.7,8a:LBtimes
715,15,842,0,0,1,10.8,8a:LBtimes
716,9,935,1,1,1,10.8,8a:LBtimes
410,15,569,0,0,1,10.8,8a:LBtimes
521,23,684,0,0,1,13.2,8a:LBtimes
709,21,1705,0,1,1,16.7,8a:LBtimes
722,19,1752,1,0,1,16.7,8a:LBtimes
700,7,638,0,0,1,16.7,8a:LBtimes
731,19,413,1,0,1,16.7,8a:LBtimes
742,15,1081,0,0,1,10.8,8a:LBtimes
121,19,529,1,0,1,16.7,8a:LBtimes
743,21,1989,0,1,1,16.7,8a:LBtimes
711,17,690,1,1,1,13.2,8a:LBtimes
710,13,624,0,1,1,13.2,8a:LBtimes
691,19,678,1,0,1,16.7,8a:LBtimes
696,5,754,0,1,1,10.8,8a:LBtimes
226,17,592,1,1,1,13.2,8a:LBtimes
433,23,449,0,0,1,13.2,8a:LBtimes
726,15,2094,0,0,1,10.8,8a:LBtimes
434,7,682,0,0,1,16.7,8a:LBtimes
693,17,351,1,1,1,13.2,8a:LBtimes
701,3,932,1,0,1,13.2,8a:LBtimes
674,9,486,1,1,1,10.8,8a:LBtimes
728,17,738,1,1,1,13.2,8a:LBtimes
31,13,664,0,1,1,13.2,8a:LBtimes
730,11,620,1,0,1,10.8,8a:LBtimes
725,17,1372,1,1,1,13.2,8a:LBtimes
94,13,894,0,1,2,13.2,8a:LBtimes
692,13,590,0,1,2,13.2,8a:LBtimes
697,19,437,1,0,2,16.7,8a:LBtimes
601,23,457,0,0,2,13.2,8a:LBtimes
715,9,668,1,1,2,10.8,8a:LBtimes
716,11,629,1,0,2,10.8,8a:LBtimes
740,9,569,1,1,2,10.8,8a:LBtimes
168,5,1092,0,1,2,10.8,8a:LBtimes
694,3,904,1,0,2,13.2,8a:LBtimes
736,17,350,1,1,2,13.2,8a:LBtimes
717,17,618,1,1,2,13.2,8a:LBtimes
707,17,552,1,1,2,13.2,8a:LBtimes
689,3,563,1,0,2,13.2,8a:LBtimes
727,13,741,0,1,2,13.2,8a:LBtimes
699,15,911,0,0,2,10.8,8a:LBtimes
718,23,488,0,0,2,13.2,8a:LBtimes
708,1,1145,1,1,2,16.7,8a:LBtimes
745,3,625,1,0,2,13.2,8a:LBtimes
733,3,462,1,0,2,13.2,8a:LBtimes
709,1,354,1,1,2,16.7,8a:LBtimes
