workerid,movieID,reactionTime,PArray,AArray,trialNum,expt
123,5,547.1,0,1,1,1c:LabReplication
123,3,276.9,1,0,5,1c:LabReplication
123,1,410.5,1,1,7,1c:LabReplication
123,7,326.8,0,0,8,1c:LabReplication
123,7,364.8,0,0,11,1c:LabReplication
123,3,259.8,1,0,12,1c:LabReplication
123,5,302.7,0,1,13,1c:LabReplication
123,1,413,1,1,14,1c:LabReplication
123,7,373.8,0,0,17,1c:LabReplication
123,5,526.7,0,1,18,1c:LabReplication
123,1,243.6,1,1,21,1c:LabReplication
123,3,254.8,1,0,23,1c:LabReplication
123,1,356.8,1,1,27,1c:LabReplication
123,7,380.5,0,0,29,1c:LabReplication
123,5,362.7,0,1,30,1c:LabReplication
123,3,286.2,1,0,32,1c:LabReplication
123,7,326.9,0,0,34,1c:LabReplication
123,5,360.7,0,1,36,1c:LabReplication
123,1,327.6,1,1,37,1c:LabReplication
123,3,215,1,0,39,1c:LabReplication
124,5,616.8,0,1,1,1c:LabReplication
124,7,480.6,0,0,6,1c:LabReplication
124,3,447.2,1,0,7,1c:LabReplication
124,1,374.1,1,1,8,1c:LabReplication
124,3,243.7,1,0,9,1c:LabReplication
124,1,666.8,1,1,11,1c:LabReplication
124,5,618.5,0,1,14,1c:LabReplication
124,7,609.4,0,0,15,1c:LabReplication
124,7,336.7,0,0,19,1c:LabReplication
124,1,443.2,1,1,20,1c:LabReplication
124,3,476.2,1,0,21,1c:LabReplication
124,5,410.4,0,1,24,1c:LabReplication
124,7,387.1,0,0,25,1c:LabReplication
124,5,450.3,0,1,28,1c:LabReplication
124,1,429,1,1,29,1c:LabReplication
124,3,409.6,1,0,30,1c:LabReplication
124,7,476.3,0,0,33,1c:LabReplication
124,1,418.1,1,1,37,1c:LabReplication
124,3,619.7,1,0,38,1c:LabReplication
124,5,526.5,0,1,39,1c:LabReplication
125,7,572,0,0,3,1c:LabReplication
125,5,443.4,0,1,4,1c:LabReplication
125,1,445.6,1,1,6,1c:LabReplication
125,3,327.3,1,0,7,1c:LabReplication
125,5,341.6,0,1,10,1c:LabReplication
125,3,301.1,1,0,12,1c:LabReplication
125,7,526.7,0,0,14,1c:LabReplication
125,1,327.1,1,1,16,1c:LabReplication
125,1,393,1,1,19,1c:LabReplication
125,5,376.3,0,1,20,1c:LabReplication
125,7,385.5,0,0,21,1c:LabReplication
125,3,377,1,0,24,1c:LabReplication
125,3,343.6,1,0,28,1c:LabReplication
125,5,380.4,0,1,29,1c:LabReplication
125,1,360.3,1,1,31,1c:LabReplication
125,7,612,0,0,32,1c:LabReplication
125,1,330,1,1,33,1c:LabReplication
125,3,255.2,1,0,35,1c:LabReplication
125,5,383.7,0,1,37,1c:LabReplication
125,7,413.3,0,0,38,1c:LabReplication
126,7,780.8,0,0,1,1c:LabReplication
126,3,420.8,1,0,3,1c:LabReplication
126,5,456.4,0,1,6,1c:LabReplication
126,1,497.9,1,1,8,1c:LabReplication
126,5,492.7,0,1,15,1c:LabReplication
126,3,443.2,1,0,16,1c:LabReplication
126,3,431.8,1,0,17,1c:LabReplication
126,7,491.5,0,0,21,1c:LabReplication
126,5,382,0,1,22,1c:LabReplication
126,1,742.7,1,1,23,1c:LabReplication
126,1,469.7,1,1,26,1c:LabReplication
126,5,566.3,0,1,28,1c:LabReplication
126,3,360.6,1,0,29,1c:LabReplication
126,7,541.1,0,0,31,1c:LabReplication
126,5,443.9,0,1,35,1c:LabReplication
126,1,609.7,1,1,37,1c:LabReplication
126,7,526.7,0,0,39,1c:LabReplication
126,3,491.6,1,0,40,1c:LabReplication
127,1,195.8,1,1,1,1c:LabReplication
127,5,443.1,0,1,3,1c:LabReplication
127,3,293.7,1,0,5,1c:LabReplication
127,7,350.5,0,0,8,1c:LabReplication
127,1,294,1,1,10,1c:LabReplication
127,5,346.1,0,1,12,1c:LabReplication
127,3,326.8,1,0,13,1c:LabReplication
127,7,327.4,0,0,16,1c:LabReplication
127,5,369.5,0,1,18,1c:LabReplication
127,3,243.6,1,0,19,1c:LabReplication
127,1,254.1,1,1,22,1c:LabReplication
127,7,461,0,0,23,1c:LabReplication
127,5,265.1,0,1,25,1c:LabReplication
127,7,215.3,0,0,28,1c:LabReplication
127,3,293.5,1,0,29,1c:LabReplication
127,1,332.8,1,1,31,1c:LabReplication
127,5,447.9,0,1,34,1c:LabReplication
127,3,336.9,1,0,36,1c:LabReplication
127,1,443.9,1,1,38,1c:LabReplication
127,7,449.5,0,0,39,1c:LabReplication
128,5,611.9,0,1,4,1c:LabReplication
128,7,489.6,0,0,5,1c:LabReplication
128,1,544.1,1,1,6,1c:LabReplication
128,3,511.7,1,0,8,1c:LabReplication
128,7,615.3,0,0,11,1c:LabReplication
128,5,762.6,0,1,12,1c:LabReplication
128,3,507.1,1,0,14,1c:LabReplication
128,1,812.5,1,1,15,1c:LabReplication
128,1,743.4,1,1,17,1c:LabReplication
