workerid,movieID,reactionTime,PArray,AArray,attentionTime,trialNum,expt
776,77,861,0,0,14.9,1,8b:LBtimes
512,93,717,1,0,18.9,1,8b:LBtimes
808,85,692,0,1,16.9,1,8b:LBtimes
855,53,578,1,0,10.9,1,8b:LBtimes
794,75,733,0,1,14.9,1,8b:LBtimes
833,77,708,0,0,14.9,1,8b:LBtimes
821,81,558,1,1,16.9,1,8b:LBtimes
796,71,617,1,1,14.9,1,8b:LBtimes
762,81,1082,1,1,16.9,1,8b:LBtimes
807,63,767,1,0,12.9,1,8b:LBtimes
835,71,554,1,1,14.9,1,8b:LBtimes
777,87,931,0,0,16.9,1,8b:LBtimes
750,95,748,0,1,18.9,1,8b:LBtimes
788,71,449,1,1,14.9,1,8b:LBtimes
805,85,523,0,1,16.9,1,8b:LBtimes
818,85,2582,0,1,16.9,1,8b:LBtimes
797,93,2870,1,0,18.9,1,8b:LBtimes
800,97,1197,0,0,18.9,1,8b:LBtimes
546,55,645,0,1,10.9,1,8b:LBtimes
771,81,526,1,1,16.9,1,8b:LBtimes
499,61,484,1,1,12.9,1,8b:LBtimes
811,75,1301,0,1,14.9,1,8b:LBtimes
830,65,664,0,1,12.9,1,8b:LBtimes
790,93,1325,1,0,18.9,1,8b:LBtimes
802,75,518,0,1,14.9,1,8b:LBtimes
792,97,777,0,0,18.9,1,8b:LBtimes
866,57,714,0,0,10.9,1,8b:LBtimes
773,97,429,0,0,18.9,1,8b:LBtimes
810,63,662,1,0,12.9,1,8b:LBtimes
832,73,883,1,0,14.9,1,8b:LBtimes
219,95,1685,0,1,18.9,1,8b:LBtimes
455,75,985,0,1,14.9,1,8b:LBtimes
880,71,396,1,1,14.9,1,8b:LBtimes
803,65,566,0,1,12.9,1,8b:LBtimes
732,91,885,1,1,18.9,1,8b:LBtimes
31,83,1261,1,0,16.9,1,8b:LBtimes
859,65,888,0,1,12.9,1,8b:LBtimes
294,95,769,0,1,18.9,1,8b:LBtimes
474,85,497,0,1,16.9,1,8b:LBtimes
875,81,749,1,1,16.9,1,8b:LBtimes
763,93,1019,1,0,18.9,1,8b:LBtimes
489,57,571,0,0,10.9,1,8b:LBtimes
749,61,716,1,1,12.9,1,8b:LBtimes
879,95,940,0,1,18.9,1,8b:LBtimes
756,77,626,0,0,14.9,1,8b:LBtimes
825,73,864,1,0,14.9,1,8b:LBtimes
764,87,499,0,0,16.9,1,8b:LBtimes
838,77,469,0,0,14.9,1,8b:LBtimes
409,61,669,1,1,12.9,1,8b:LBtimes
799,61,549,1,1,12.9,1,8b:LBtimes
841,55,2335,0,1,10.9,1,8b:LBtimes
814,81,845,1,1,16.9,1,8b:LBtimes
766,81,565,1,1,16.9,1,8b:LBtimes
842,63,996,1,0,12.9,1,8b:LBtimes
774,73,712,1,0,14.9,1,8b:LBtimes
753,91,1029,1,1,18.9,1,8b:LBtimes
858,77,933,0,0,14.9,1,8b:LBtimes
510,63,555,1,0,12.9,1,8b:LBtimes
840,67,429,0,0,12.9,1,8b:LBtimes
822,77,850,0,0,14.9,1,8b:LBtimes
852,91,533,1,1,18.9,1,8b:LBtimes
849,67,916,0,0,12.9,1,8b:LBtimes
820,77,535,0,0,14.9,1,8b:LBtimes
819,85,948,0,1,16.9,1,8b:LBtimes
78,87,1891,0,0,16.9,1,8b:LBtimes
782,81,551,1,1,16.9,1,8b:LBtimes
748,85,1289,0,1,16.9,1,8b:LBtimes
850,95,451,0,1,18.9,1,8b:LBtimes
862,83,472,1,0,16.9,1,8b:LBtimes
767,73,569,1,0,14.9,1,8b:LBtimes
884,87,1421,0,0,16.9,1,8b:LBtimes
308,93,860,1,0,18.9,2,8b:LBtimes
872,95,497,0,1,18.9,2,8b:LBtimes
855,55,510,0,1,10.9,2,8b:LBtimes
794,67,625,0,0,12.9,2,8b:LBtimes
821,51,462,1,1,10.9,2,8b:LBtimes
807,65,918,0,1,12.9,2,8b:LBtimes
835,51,576,1,1,10.9,2,8b:LBtimes
856,97,295,0,0,18.9,2,8b:LBtimes
788,57,794,0,0,10.9,2,8b:LBtimes
554,81,1049,1,1,16.9,2,8b:LBtimes
818,63,492,1,0,12.9,2,8b:LBtimes
871,55,853,0,1,10.9,2,8b:LBtimes
780,53,759,1,0,10.9,2,8b:LBtimes
755,63,550,1,0,12.9,2,8b:LBtimes
800,87,506,0,0,16.9,2,8b:LBtimes
48,81,468,1,1,16.9,2,8b:LBtimes
546,51,481,1,1,10.9,2,8b:LBtimes
771,63,412,1,0,12.9,2,8b:LBtimes
789,65,1063,0,1,12.9,2,8b:LBtimes
811,97,519,0,0,18.9,2,8b:LBtimes
830,77,650,0,0,14.9,2,8b:LBtimes
759,65,918,0,1,12.9,2,8b:LBtimes
824,57,643,0,0,10.9,2,8b:LBtimes
882,87,606,0,0,16.9,2,8b:LBtimes
845,65,723,0,1,12.9,2,8b:LBtimes
792,67,746,0,0,12.9,2,8b:LBtimes
783,55,559,0,1,10.9,2,8b:LBtimes
758,91,535,1,1,18.9,2,8b:LBtimes
836,77,1506,0,0,14.9,2,8b:LBtimes
806,55,951,0,1,10.9,2,8b:LBtimes
832,77,654,0,0,14.9,2,8b:LBtimes
219,63,500,1,0,12.9,2,8b:LBtimes
746,95,935,0,1,18.9,2,8b:LBtimes
803,63,711,1,0,12.9,2,8b:LBtimes
883,51,440,1,1,10.9,2,8b:LBtimes
867,93,775,1,0,18.9,2,8b:LBtimes
31,85,563,0,1,16.9,2,8b:LBtimes
752,81,408,1,1,16.9,2,8b:LBtimes
816,87,704,0,0,16.9,2,8b:LBtimes
150,51,925,1,1,10.9,2,8b:LBtimes
734,81,455,1,1,16.9,2,8b:LBtimes
474,67,397,0,0,12.9,2,8b:LBtimes
857,87,571,0,0,16.9,2,8b:LBtimes
875,53,512,1,0,10.9,2,8b:LBtimes
876,75,1543,0,1,14.9,2,8b:LBtimes
864,77,871,0,0,14.9,2,8b:LBtimes
801,55,662,0,1,10.9,2,8b:LBtimes
489,63,510,1,0,12.9,2,8b:LBtimes
328,67,438,0,0,12.9,2,8b:LBtimes
854,61,829,1,1,12.9,2,8b:LBtimes
772,61,512,1,1,12.9,2,8b:LBtimes
756,71,554,1,1,14.9,2,8b:LBtimes
543,75,802,0,1,14.9,2,8b:LBtimes
159,61,640,1,1,12.9,2,8b:LBtimes
861,71,533,1,1,14.9,2,8b:LBtimes
863,83,733,1,0,16.9,2,8b:LBtimes
409,71,655,1,1,14.9,2,8b:LBtimes
799,81,511,1,1,16.9,2,8b:LBtimes
841,75,554,0,1,14.9,2,8b:LBtimes
814,75,1505,0,1,14.9,2,8b:LBtimes
766,85,648,0,1,16.9,2,8b:LBtimes
774,65,1043,0,1,12.9,2,8b:LBtimes
844,53,863,1,0,10.9,2,8b:LBtimes
865,73,549,1,0,14.9,2,8b:LBtimes
798,71,354,1,1,14.9,2,8b:LBtimes
840,81,380,1,1,16.9,2,8b:LBtimes
827,75,430,0,1,14.9,2,8b:LBtimes
779,93,1090,1,0,18.9,2,8b:LBtimes
834,53,613,1,0,10.9,2,8b:LBtimes
822,91,709,1,1,18.9,2,8b:LBtimes
852,97,1278,0,0,18.9,2,8b:LBtimes
791,73,518,1,0,14.9,2,8b:LBtimes
757,97,1070,0,0,18.9,2,8b:LBtimes
813,67,746,0,0,12.9,2,8b:LBtimes
78,75,694,0,1,14.9,2,8b:LBtimes
782,85,702,0,1,16.9,2,8b:LBtimes
823,61,760,1,1,12.9,2,8b:LBtimes
767,65,525,0,1,12.9,2,8b:LBtimes
776,63,615,1,0,12.9,3,8b:LBtimes
872,61,383,1,1,12.9,3,8b:LBtimes
512,87,626,0,0,16.9,3,8b:LBtimes
765,95,362,0,1,18.9,3,8b:LBtimes
855,73,592,1,0,14.9,3,8b:LBtimes
821,83,719,1,0,16.9,3,8b:LBtimes
796,61,678,1,1,12.9,3,8b:LBtimes
762,87,1154,0,0,16.9,3,8b:LBtimes
837,73,398,1,0,14.9,3,8b:LBtimes
761,77,752,0,0,14.9,3,8b:LBtimes
807,75,758,0,1,14.9,3,8b:LBtimes
777,55,605,0,1,10.9,3,8b:LBtimes
781,81,683,1,1,16.9,3,8b:LBtimes
846,57,505,0,0,10.9,3,8b:LBtimes
871,87,776,0,0,16.9,3,8b:LBtimes
780,51,928,1,1,10.9,3,8b:LBtimes
797,87,868,0,0,16.9,3,8b:LBtimes
755,93,584,1,0,18.9,3,8b:LBtimes
800,71,448,1,1,14.9,3,8b:LBtimes
811,67,703,0,0,12.9,3,8b:LBtimes
812,75,1042,0,1,14.9,3,8b:LBtimes
759,51,495,1,1,10.9,3,8b:LBtimes
882,91,522,1,1,18.9,3,8b:LBtimes
866,65,947,0,1,12.9,3,8b:LBtimes
785,97,552,0,0,18.9,3,8b:LBtimes
783,97,652,0,0,18.9,3,8b:LBtimes
773,67,568,0,0,12.9,3,8b:LBtimes
832,55,555,0,1,10.9,3,8b:LBtimes
219,77,322,0,0,14.9,3,8b:LBtimes
455,83,786,1,0,16.9,3,8b:LBtimes
751,81,583,1,1,16.9,3,8b:LBtimes
880,65,585,0,1,12.9,3,8b:LBtimes
732,93,719,1,0,18.9,3,8b:LBtimes
881,97,539,0,0,18.9,3,8b:LBtimes
150,75,1125,0,1,14.9,3,8b:LBtimes
474,61,343,1,1,12.9,3,8b:LBtimes
857,85,718,0,1,16.9,3,8b:LBtimes
875,75,678,0,1,14.9,3,8b:LBtimes
876,81,934,1,1,16.9,3,8b:LBtimes
864,91,565,1,1,18.9,3,8b:LBtimes
