Week,Day,Topic,Chapter,Difficulty
1,M,Class introduction,1,reg
1,W,Theories,2,reg
1,F,Replication and reproducibility,3,reg
2,M,Open Science,,reg
2,W,Measurement,8,reg
2,F,Design of experiments 1,9,reg
3,M,Design of experiments 2,,reg
3,W,Sampling,10,reg
3,F,Experimental strategy,,reg
4,M,Preregistration,11,reg
4,W,Data collection,12,reg
4,F,Visualization 1,15,adv
5,M,Visualization 2,,adv
5,W,Midterm exam,,reg
5,F,Introduction to statistics,,reg
6,M,Estimation 1,5,reg
6,W,Estimation 2,,reg
6,F,Inference 1,6,reg
7,M,Inference 2,,reg
7,W,Models 1,7,adv
7,F,Models 2,,adv
8,M,Meta-analysis,16,adv
8,W,Project management,13,reg
8,F,[Instructor-specific topics],,reg
9,M,"Sampling, representativeness, and generalizability",4,reg
9,W,Data and participant ethics,12,reg
9,F,Authorship and research ethics,,reg
10,M,Conclusion,17,reg
10,W,Conclusion,,reg
10,F,Final exam,,reg
