prime,prime.result,target,congruent,operand,distance,counterbalance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
=1+2+5,8,9,no,A,-1,1,597,560,872,596,664,597,596,700,664,700,700,559,595,560,629,629,523,524,597,664,664
=1+3+5,9,11,no,A,-2,1,699,595,805,1084,525,664,736,804,736,595,735,353,NA,737,768,768,596,596,839,525,664
=1+4+3,8,12,no,A,-4,1,700,596,700,943,736,803,597,840,804,628,735,NA,664,628,664,596,524,560,804,595,596
=1+6+3,10,12,no,A,-2,1,628,317,839,596,628,872,523,664,805,1219,700,NA,664,560,737,804,525,492,977,664,596
=1+9+2,12,11,no,A,1,1,768,663,804,700,629,560,736,628,944,559,596,664,700,736,768,768,596,597,840,597,627
=1+9+3,13,12,no,A,1,1,595,700,664,456,736,737,596,700,768,664,596,NA,628,735,597,769,560,628,701,700,664
=2+1+9,12,11,no,A,1,1,664,736,769,975,628,700,769,699,664,664,664,663,559,737,872,736,595,596,805,664,525
=2+3+6,11,10,no,A,1,1,803,736,768,NA,628,804,560,908,NA,803,595,664,559,627,NA,841,456,524,561,492,525
=2+3+7,12,11,no,A,1,1,767,561,768,840,525,560,627,595,840,628,804,735,664,NA,664,944,560,456,804,664,736
=2+5+6,13,9,no,A,4,1,700,525,872,628,523,629,628,524,596,840,700,664,420,560,700,664,559,560,596,559,524
=2+7+1,10,12,no,A,-2,1,596,736,NA,768,768,664,700,769,664,701,840,872,700,627,737,804,664,627,664,596,664
=2+8+3,13,11,no,A,2,1,841,665,736,908,628,597,664,804,664,560,803,NA,559,663,561,768,908,492,597,664,804
=3+1+5,9,12,no,A,-3,1,664,176,769,628,597,736,628,597,737,107,736,664,736,560,664,768,524,560,628,525,595
=3+1+7,11,12,no,A,-1,1,737,664,1048,664,NA,525,627,736,737,700,737,352,664,664,872,664,559,492,908,664,597
=3+2+5,10,14,no,A,-4,1,596,523,1116,560,523,NA,628,664,839,840,628,384,736,560,700,664,492,595,699,560,628
=3+4+2,9,10,no,A,-1,1,1048,595,736,595,597,628,701,524,NA,595,699,595,596,NA,768,664,523,420,700,456,664
=3+5+4,12,10,no,A,2,1,628,768,560,664,456,664,699,736,700,1359,560,523,700,561,628,872,456,385,699,559,596
=3+5+6,14,13,no,A,1,1,664,561,700,944,629,700,628,NA,768,559,701,736,664,561,664,804,628,664,701,664,560
=3+6+2,11,12,no,A,-1,1,737,804,943,664,840,NA,559,664,524,1117,737,560,664,699,840,700,596,628,769,628,735
=3+7+2,12,8,no,A,4,1,1048,524,907,736,664,664,628,596,700,735,700,420,628,596,872,769,597,596,804,597,700
=4+1+7,12,9,no,A,3,1,700,561,804,524,561,664,NA,629,664,628,628,663,525,560,768,664,628,492,664,664,596
=4+1+8,13,10,no,A,3,1,840,524,767,908,561,664,736,840,628,804,596,596,945,491,736,803,524,491,629,804,596
=4+3+2,9,10,no,A,-1,1,560,524,803,595,560,596,628,664,664,1084,597,804,597,560,700,736,492,524,700,456,524
=4+6+1,11,12,no,A,-1,1,699,628,737,597,628,736,628,1012,NA,NA,767,872,736,524,735,804,629,664,736,596,596
=4+6+2,12,13,no,A,-1,1,737,628,803,699,737,699,768,628,597,1292,701,352,561,596,561,769,560,840,596,665,596
=4+6+3,13,12,no,A,1,1,736,628,664,595,561,804,736,700,840,664,664,315,595,628,700,737,628,561,629,597,664
=5+1+3,9,14,no,A,-5,1,840,560,805,736,664,524,701,664,804,664,1084,492,596,524,944,664,560,596,664,596,524
=5+1+4,10,11,no,A,-1,1,873,769,872,737,664,628,803,768,701,456,597,NA,597,735,840,803,736,664,700,664,907
=5+1+6,12,8,no,A,4,1,736,596,736,628,699,700,700,700,736,700,768,523,736,560,664,736,596,420,628,559,840
=5+2+4,11,13,no,A,-2,1,976,664,839,524,559,976,596,NA,664,737,596,628,664,628,700,908,456,525,597,628,628
=5+4+1,10,12,no,A,-2,1,804,701,736,1049,872,628,664,664,804,595,664,840,700,664,699,872,561,560,700,699,663
=6+1+2,9,13,no,A,-4,1,700,768,769,664,628,561,595,767,700,NA,805,1048,700,595,664,596,524,561,628,595,628
=6+4+1,11,13,no,A,-2,1,804,736,840,628,699,699,597,628,737,597,700,420,560,524,1116,628,525,700,628,596,768
=6+5+1,12,13,no,A,-1,1,735,560,700,735,561,664,735,840,628,628,596,560,596,560,596,NA,525,560,701,700,629
=7+1+3,11,9,no,A,2,1,700,524,804,2336,700,767,597,872,735,560,595,596,628,596,700,909,628,596,596,524,524
