data_id,age,comprehension,production,language,form,birth_order,ethnicity,sex,zygosity,norming,longitudinal,source_name,mom_ed
51699,27,497,497,English,WS,Fourth,Hispanic,Female,NA,TRUE,FALSE,Marchman,Some Secondary
51700,21,369,369,English,WS,Second,White,Female,NA,TRUE,FALSE,Marchman,Secondary
51701,26,190,190,English,WS,Fourth,White,Female,NA,TRUE,FALSE,Marchman,College
51702,27,264,264,English,WS,Second,White,Male,NA,TRUE,FALSE,Marchman,Secondary
51703,19,159,159,English,WS,Second,Other,Female,NA,TRUE,FALSE,Marchman,Secondary
51704,30,513,513,English,WS,Second,Other,Female,NA,TRUE,FALSE,Marchman,Secondary
51705,25,444,444,English,WS,Second,Other,Male,NA,TRUE,FALSE,Marchman,Some College
51706,24,582,582,English,WS,Second,White,Male,NA,TRUE,FALSE,Marchman,Some College
51707,28,558,558,English,WS,Second,Black,Female,NA,TRUE,FALSE,Marchman,Some Secondary
51708,18,7,7,English,WS,Fourth,Other,Female,NA,TRUE,FALSE,Marchman,Secondary
51709,29,526,526,English,WS,Second,Other,Female,NA,TRUE,FALSE,Marchman,Some College
51710,26,190,190,English,WS,Fifth,Other,Female,NA,TRUE,FALSE,Marchman,Some Secondary
51711,18,32,32,English,WS,Fourth,Other,Male,NA,TRUE,FALSE,Marchman,Some Secondary
51712,24,126,126,English,WS,Second,Hispanic,Male,NA,TRUE,FALSE,Marchman,Secondary
51713,28,199,199,English,WS,Second,Other,Male,NA,TRUE,FALSE,Marchman,Some Secondary
51714,24,330,330,English,WS,Second,Other,Male,NA,TRUE,FALSE,Marchman,Some Secondary
51715,26,181,181,English,WS,Second,Other,Male,NA,TRUE,FALSE,Marchman,Secondary
51716,16,16,16,English,WS,Third,Hispanic,Male,NA,TRUE,FALSE,Marchman,Primary
51717,17,166,166,English,WS,Sixth,White,Male,NA,TRUE,FALSE,Marchman,Some College
51718,30,643,643,English,WS,Third,Other,Male,NA,TRUE,FALSE,Marchman,Some Secondary
51719,19,143,143,English,WS,Second,Black,Female,NA,TRUE,FALSE,Marchman,Secondary
51720,28,644,644,English,WS,Second,White,Male,NA,TRUE,FALSE,Marchman,Secondary
51721,26,379,379,English,WS,Second,Other,Male,NA,TRUE,FALSE,Marchman,Some College
51722,29,462,462,English,WS,Second,Other,Male,NA,TRUE,FALSE,Marchman,Some Secondary
51723,22,208,208,English,WS,Third,Black,Female,NA,TRUE,FALSE,Marchman,Some College
51724,23,251,251,English,WS,Second,Hispanic,Female,NA,TRUE,FALSE,Marchman,Secondary
51725,29,569,569,English,WS,Second,White,Female,NA,TRUE,FALSE,Marchman,Secondary
51726,24,514,514,English,WS,First,Other,Male,NA,TRUE,FALSE,Marchman,Some College
51727,25,672,672,English,WS,Third,Other,Female,NA,TRUE,FALSE,Marchman,Secondary
51728,17,60,60,English,WS,Third,White,Female,NA,TRUE,FALSE,Marchman,Secondary
51729,24,292,292,English,WS,Third,Other,Female,NA,TRUE,FALSE,Marchman,Secondary
51730,25,234,234,English,WS,Second,White,Female,NA,TRUE,FALSE,Marchman,Secondary
51731,24,181,181,English,WS,Fourth,Other,Male,NA,TRUE,FALSE,Marchman,Some College
51732,25,65,65,English,WS,Second,Other,Male,NA,TRUE,FALSE,Marchman,Some Secondary
51733,16,57,57,English,WS,Fifth,Other,Female,NA,TRUE,FALSE,Marchman,Secondary
51734,19,22,22,English,WS,Second,Asian,Female,NA,TRUE,FALSE,Marchman,Secondary
51735,18,4,4,English,WS,Eighth,Black,Male,NA,TRUE,FALSE,Marchman,College
51736,17,8,8,English,WS,Third,White,Male,NA,TRUE,FALSE,Marchman,Secondary
51737,18,47,47,English,WS,Third,Hispanic,Male,NA,TRUE,FALSE,Marchman,Secondary
51738,19,27,27,English,WS,Fourth,Black,Female,NA,TRUE,FALSE,Marchman,Secondary
51739,23,397,397,English,WS,Fourth,Other,Female,NA,TRUE,FALSE,Marchman,Secondary
51740,16,25,25,English,WS,Second,Black,Male,NA,TRUE,FALSE,Marchman,Secondary
51741,23,117,117,English,WS,Second,Hispanic,Female,NA,TRUE,FALSE,Marchman,Some College
51742,20,97,97,English,WS,Second,Other,Female,NA,TRUE,FALSE,Marchman,Secondary
51743,28,215,215,English,WS,Second,Hispanic,Male,NA,TRUE,FALSE,Marchman,Secondary
51744,22,323,323,English,WS,Sixth,Black,Male,NA,TRUE,FALSE,Marchman,Some Secondary
51745,30,316,316,English,WS,Second,Other,Male,NA,TRUE,FALSE,Marchman,Some Secondary
51746,25,141,141,English,WS,Second,Hispanic,Female,NA,TRUE,FALSE,Marchman,Secondary
