condition,country,actor.id,actor.age.years,actor.gender,dist,eq.uneq,decision,value,trial
DI,Uganda,uganda.actor.1,7,F,t1.dist,U,accept,low,t1
AI,Uganda,uganda.actor.2,8,M,t1.dist,U,accept,low,t1
AI,Uganda,uganda.actor.3,8,M,t1.dist,E,accept,low,t1
AI,Uganda,uganda.actor.4,9,M,t1.dist,U,accept,high,t1
DI,Uganda,uganda.actor.5,8,F,t1.dist,E,accept,high,t1
AI,Uganda,uganda.actor.6,7,F,t1.dist,U,accept,high,t1
AI,Uganda,uganda.actor.7,9,F,t1.dist,U,accept,high,t1
AI,Uganda,uganda.actor.8,8,F,t1.dist,E,accept,high,t1
AI,Uganda,uganda.actor.9,8,M,t1.dist,E,accept,high,t1
AI,Uganda,uganda.actor.10,9,F,t1.dist,E,accept,low,t1
DI,Uganda,uganda.actor.11,8,M,t1.dist,E,accept,high,t1
AI,Uganda,uganda.actor.12,8,F,t1.dist,E,reject,high,t1
DI,Uganda,uganda.actor.13,9,F,t1.dist,E,accept,high,t1
AI,Uganda,uganda.actor.14,8,F,t1.dist,E,accept,low,t1
DI,Uganda,uganda.actor.15,7,M,t1.dist,U,accept,low,t1
DI,Uganda,uganda.actor.16,8,F,t1.dist,E,accept,low,t1
DI,Uganda,uganda.actor.17,8,F,t1.dist,E,accept,high,t1
AI,Uganda,uganda.actor.18,9,F,t1.dist,E,accept,high,t1
DI,Uganda,uganda.actor.19,9,M,t1.dist,E,accept,high,t1
DI,Uganda,uganda.actor.20,9,F,t1.dist,E,accept,high,t1
DI,Uganda,uganda.actor.21,8,M,t1.dist,U,accept,high,t1
DI,Uganda,uganda.actor.22,7,F,t1.dist,E,accept,low,t1
AI,Uganda,uganda.actor.23,7,M,t1.dist,U,accept,low,t1
DI,Uganda,uganda.actor.24,7,M,t1.dist,U,accept,low,t1
AI,Uganda,uganda.actor.25,9,F,t1.dist,U,reject,low,t1
DI,Uganda,uganda.actor.26,9,F,t1.dist,E,accept,low,t1
AI,Uganda,uganda.actor.27,7,M,t1.dist,U,accept,low,t1
DI,Uganda,uganda.actor.28,9,M,t1.dist,E,accept,high,t1
AI,Uganda,uganda.actor.29,7,M,t1.dist,U,accept,high,t1
DI,Uganda,uganda.actor.30,7,M,t1.dist,U,accept,low,t1
DI,Uganda,uganda.actor.31,6,M,t1.dist,E,reject,low,t1
DI,Uganda,uganda.actor.32,5,F,t1.dist,E,reject,low,t1
DI,Uganda,uganda.actor.33,6,M,t1.dist,U,accept,high,t1
AI,Uganda,uganda.actor.34,4.5,M,t1.dist,U,accept,high,t1
AI,Uganda,uganda.actor.35,5,F,t1.dist,E,reject,low,t1
DI,Uganda,uganda.actor.36,6,F,t1.dist,E,accept,low,t1
AI,Uganda,uganda.actor.37,5,M,t1.dist,E,accept,high,t1
DI,Uganda,uganda.actor.38,6,F,t1.dist,E,accept,low,t1
AI,Uganda,uganda.actor.39,5,M,t1.dist,U,accept,low,t1
DI,Uganda,uganda.actor.40,6,M,t1.dist,U,accept,low,t1
DI,Uganda,uganda.actor.41,6,F,t1.dist,U,reject,high,t1
AI,Uganda,uganda.actor.42,4.5,M,t1.dist,E,reject,low,t1
AI,Uganda,uganda.actor.43,5,F,t1.dist,E,reject,high,t1
AI,Uganda,uganda.actor.44,6,F,t1.dist,E,accept,low,t1
AI,Uganda,uganda.actor.45,5,F,t1.dist,E,reject,low,t1
DI,Uganda,uganda.actor.47,6,M,t1.dist,E,accept,high,t1
AI,Uganda,uganda.actor.48,5,F,t1.dist,U,reject,high,t1
DI,Uganda,uganda.actor.49,6,M,t1.dist,E,accept,high,t1
AI,Uganda,uganda.actor.50,6,M,t1.dist,U,accept,high,t1
DI,Uganda,uganda.actor.51,5,F,t1.dist,U,accept,high,t1
DI,Uganda,uganda.actor.53,6,F,t1.dist,E,accept,high,t1
